load_average_1m,init_to_stop_ms,ebpf_to_userspace_ms
2.410,0.856,0.048
2.300,0.940,0.047
2.300,0.939,0.047
2.190,0.957,0.047
2.190,0.950,0.048
2.190,0.947,0.047
2.100,0.940,0.048
2.100,0.953,0.045
2.010,0.927,0.047
2.010,0.937,0.047
2.010,0.949,0.046
1.930,0.948,0.051
1.930,0.966,0.052
1.850,0.956,0.054
1.850,0.875,0.049
1.850,0.955,0.049
1.780,0.892,0.048
1.780,0.932,0.053
1.720,0.940,0.059
1.720,0.943,0.053
1.660,0.984,0.052
1.660,0.950,0.053
1.660,0.930,0.051
1.610,0.944,0.047
1.610,0.958,0.051
1.560,0.941,0.053
1.560,0.963,0.054
1.560,0.936,0.052
1.520,0.950,0.053
1.520,0.944,0.049
1.470,0.947,0.052
1.470,0.967,0.053
1.470,0.961,0.050
1.440,0.967,0.051
1.440,0.944,0.051
1.400,0.940,0.051
1.400,0.949,0.053
1.370,0.947,0.052
1.370,0.940,0.050
1.370,0.926,0.050
1.340,0.932,0.052
1.340,0.926,0.052
1.310,0.909,0.049
1.310,0.963,0.052
1.310,0.954,0.055
1.290,0.939,0.050
1.290,0.878,0.050
1.260,0.937,0.050
1.260,0.909,0.052
1.260,0.848,0.052
1.240,0.896,0.052
1.240,0.820,0.051
1.300,0.922,0.050
1.300,0.940,0.050
1.280,0.784,0.056
1.280,0.921,0.051
1.280,0.973,0.055
1.260,0.895,0.052
1.260,0.939,0.050
1.240,0.846,0.047
1.240,0.935,0.051
1.240,0.889,0.050
1.220,0.951,0.052
1.220,0.939,0.051
1.200,0.973,0.052
1.200,0.933,0.051
1.200,0.954,0.051
1.180,0.929,0.048
1.180,0.836,0.053
1.170,0.939,0.052
1.170,0.930,0.050
1.150,0.949,0.053
1.150,0.957,0.053
1.150,0.801,0.051
1.140,0.891,0.050
1.140,0.919,0.050
1.210,0.762,0.051
1.210,0.890,0.049
1.210,0.937,0.049
1.190,0.910,0.049
1.190,0.942,0.051
1.180,0.933,0.049
1.180,0.948,0.066
1.180,0.953,0.053
1.160,0.945,0.051
1.160,0.941,0.051
1.150,0.949,0.052
1.150,0.944,0.052
1.140,0.952,0.051
1.140,0.953,0.049
1.140,0.843,0.047
1.130,0.694,0.048
1.130,0.917,0.050
1.120,0.947,0.047
1.120,0.925,0.049
1.120,0.934,0.051
1.110,1.085,0.067
1.110,1.132,0.066
1.180,1.168,0.068
1.180,1.084,0.065
1.180,0.988,0.064
1.240,1.088,0.065
1.240,0.912,0.066
1.300,1.040,0.064
1.300,1.088,0.066
1.360,1.212,0.067
1.360,1.176,0.067
1.360,1.116,0.065
1.410,1.127,0.065
1.410,1.215,0.065
1.460,1.106,0.065
1.460,1.130,0.060
1.460,1.149,0.064
1.500,1.137,0.064
1.500,1.078,0.062
1.540,0.992,0.066
1.540,1.175,0.067
1.540,1.146,0.066
1.580,1.024,0.072
1.580,1.137,0.065
1.610,1.063,0.065
1.610,0.950,0.067
1.640,1.084,0.068
1.640,1.141,0.066
1.640,1.120,0.066
1.670,1.190,0.071
1.670,1.186,0.072
1.780,1.126,0.072
1.780,1.129,0.072
1.780,1.135,0.071
1.880,1.110,0.071
1.880,1.091,0.072
1.970,1.100,0.072
1.970,1.098,0.073
2.050,0.963,0.065
2.050,0.946,0.063
2.050,1.201,0.070
2.130,0.977,0.065
2.130,0.948,0.066
2.200,1.187,0.071
2.200,0.981,0.063
2.200,0.939,0.065
2.260,0.924,0.064
2.260,0.902,0.064
2.320,0.932,0.065
2.320,0.945,0.062
2.320,0.966,0.065
2.380,0.924,0.063
2.380,0.935,0.063
2.430,0.926,0.064
2.430,0.952,0.064
2.470,0.950,0.065
2.470,0.955,0.063
2.470,0.930,0.064
2.520,1.024,0.070
2.520,1.064,0.068
2.630,1.044,0.073
2.630,1.052,0.074
2.630,1.069,0.075
2.740,1.088,0.072
2.740,1.031,0.067
2.840,1.019,0.067
2.840,1.081,0.076
2.840,1.068,0.076
3.100,1.285,0.075
3.100,1.067,0.075
3.170,1.085,0.067
3.170,1.034,0.070
3.240,1.027,0.068
3.240,1.169,0.069
3.240,1.080,0.071
3.380,1.086,0.069
3.380,1.069,0.070
3.430,1.065,0.068
3.430,1.060,0.067
3.430,1.002,0.067
3.470,1.023,0.068
3.470,1.016,0.069
3.520,1.038,0.067
3.520,1.028,0.068
3.560,1.061,0.070
3.560,1.088,0.068
3.560,1.063,0.070
3.590,1.123,0.068
3.590,1.051,0.069
3.700,1.047,0.067
3.700,1.036,0.068
3.700,1.048,0.067
3.810,1.113,0.079
3.810,1.069,0.070
3.900,1.057,0.070
3.900,1.063,0.069
3.900,1.067,0.074
4.070,1.065,0.076
4.070,1.027,0.067
4.150,1.139,0.076
4.150,1.039,0.068
4.220,1.085,0.076
4.220,1.136,0.067
4.220,1.075,0.070
4.280,1.083,0.071
4.280,1.079,0.070
4.340,1.109,0.079
4.340,1.091,0.070
4.340,1.071,0.070
4.390,1.067,0.070
4.390,1.097,0.070
4.440,1.020,0.069
4.440,1.039,0.069
4.480,1.045,0.073
4.480,1.053,0.067
4.480,1.034,0.068
4.610,1.112,0.067
4.610,1.131,0.070
4.720,1.106,0.081
4.720,5.240,0.085
4.720,1.157,0.066
4.820,1.098,0.070
4.820,1.144,0.069
4.920,1.140,0.069
4.920,1.134,0.069
4.920,1.141,0.071
5.000,1.125,0.068
5.000,1.082,0.068
5.080,1.116,0.068
5.080,1.107,0.071
5.160,1.143,0.070
5.160,1.154,0.068
5.160,1.172,0.068
5.220,1.159,0.070
5.220,1.139,0.069
5.290,1.151,0.069
5.290,1.128,0.069
5.290,1.144,0.069
5.340,1.202,0.086
5.340,1.096,0.066
5.480,1.124,0.069
5.480,1.077,0.066
5.480,1.158,0.067
5.680,1.135,0.070
5.680,1.139,0.069
5.780,1.171,0.083
5.780,1.176,0.081
5.880,1.254,0.083
5.880,1.176,0.083
5.880,1.183,0.082
5.970,1.180,0.083
5.970,1.144,0.079
6.050,1.132,0.081
6.050,1.195,0.082
6.050,1.201,0.080
6.130,1.135,0.092
6.130,1.246,0.081
6.200,1.234,0.082
6.200,1.198,0.077
6.270,1.201,0.078
6.270,1.232,0.083
6.270,1.172,0.086
6.320,1.370,0.084
6.320,1.233,0.082
6.380,1.183,0.079
6.380,1.186,0.078
6.380,1.161,0.087
6.430,1.182,0.081
6.430,1.175,0.081
6.470,1.201,0.101
6.470,1.205,0.097
6.470,1.204,0.083
6.520,1.174,0.082
6.520,1.176,0.084
6.720,14.238,0.116
6.720,26.353,0.087
6.820,14.660,0.117
6.820,22.660,0.082
6.820,22.900,0.085
6.910,22.562,0.116
6.910,22.182,0.118
7.000,14.666,0.111
7.000,21.950,0.082
7.080,21.614,0.086
7.080,21.988,0.086
7.080,22.927,0.080
7.150,24.564,0.079
7.150,21.768,0.086
7.220,22.148,0.084
7.220,14.628,0.082
7.290,20.685,0.088
7.290,14.173,0.086
7.290,22.452,0.082
7.340,22.159,0.083
7.340,22.279,0.083
7.400,22.157,0.086
7.400,14.436,0.082
7.440,22.362,0.087
7.440,14.747,0.091
7.440,22.804,0.082
7.490,14.521,0.082
7.490,17.879,0.084
7.610,22.544,0.104
7.610,22.419,0.117
7.720,9.972,0.082
7.720,22.195,0.082
7.720,14.256,0.085
7.820,23.047,0.107
7.820,22.717,0.102
7.920,22.832,0.078
7.920,22.522,0.117
7.920,14.978,0.081
8.010,37.059,15.353
